phrase,count
connected account,36
connection account,32
connection alleged,22
connection collection,37
connection collection debt,29
consecutive months,28
consent did,33
consent obtained,22
consent order,78
considered authorized,22
considered valid,21
considered willful,23
consistent accurate,26
consistent communication,29
consistent explanation,32
consistent good,21
consistent good faith,21
consistent information,32
consistent monthly,27
consistent monthly payments,25
consistent payment,37
consistent payment history,27
consistent payments,43
consistent time,32
consistent time payments,24
consistently maintained,22
constitute deceptive,20
constitute inaccurate,31
constitute proper,64
constitute proper validation,53
constitute reasonable,21
constitute reasonable investigation,20
constitute unfair,65
constitute unfair deceptive,45
constitute valid,20
constitute violation,132
constitute violation fair,42
constitute violation federal,35
constitute violations,109
constitute violations fair,29
constitute violations fdcpa,24
constitute violations federal,29
constitute willful,60
constitute willful noncompliance,44
constitutes clear,23
constitutes continued,20
constitutes deceptive,40
constitutes direct,28
constitutes failure,78
constitutes false,20
constitutes formal,28
constitutes furnishing,22
constitutes inaccurate,52
constitutes material,26
constitutes unauthorized,29
constitutes unfair,81
constitutes unfair deceptive,46
constitutes violation,155
constitutes violation fair,50
constitutes violation federal,25
constitutes violation rights,24
constitutes violations,35
constitutes willful,82
constitutes willful noncompliance,55
consumer account,48
consumer complaint,59
consumer complaints,34
consumer consumer,48
consumer consumer reporting,26
consumer credit,494
consumer credit file,87
consumer credit report,145
consumer credit reports,95
consumer debt,30
consumer dispute,50
consumer disputes,97
consumer disputes debt,20
consumer file,70
consumer financial,1129
consumer financial protection,1082
consumer fraud,28
consumer harm,48
consumer information,60
consumer protection,1031
consumer protection act,49
consumer protection law,38
consumer protection laws,483
consumer protection obligations,25
consumer protection regulations,25
consumer protection requirements,20
consumer protection standards,125
consumer protection statutes,35
consumer protections,88
consumer report,962
consumer report noticed,58
consumer report recently,76
consumer report violation,600
consumer reporting,1136
consumer reporting agencies,795
consumer reporting agency,299
consumer reports,87
consumer requesting,30
consumer right,47
consumer rights,241
consumer rights privacy,28
consumer transactions,59
consumer transactions provide,57
consumer usa,39
consumerfinance gov,22
consumers account,21
consumers credit,30
consumers right,38
consumers right dispute,22
contact accounts,40
contact accounts ive,37
contact attempts,32
contact bank,97
contact company,85
contact credit,20
contact customer,56
contact customer service,44
contact directly,48
contact email,40
contact info,29
contact information,383
contact information original,87
contact job,101
contact job written,101
contact merchant,89
contact number,33
contact office,20
contact parties,23
contact phone,59
contact regarding,50
contact support,29
contact wells,22
contact wells fargo,21
contact xx,39
contact xx xx,39
contacted ally,41
contacted american,64
contacted american express,63
contacted bank,469
contacted bank america,107
contacted bank multiple,36
contacted bank told,25
contacted barclays,37
contacted capital,98
contacted cash,85
contacted cash app,85
contacted chase,111
contacted chime,72
contacted citi,72
contacted citibank,150
contacted collection,44
contacted collection agency,37
contacted company,243
contacted company multiple,31
contacted company requested,21
contacted confirmed,24
contacted credit,88
contacted credit card,28
contacted customer,313
contacted customer service,265
contacted customer support,44
contacted debt,28
contacted directly,92
contacted fraud,24
contacted individual,36
contacted informed,21
contacted lender,24
contacted merchant,113
contacted mohela,43
contacted mortgage,24
contacted multiple,62
contacted multiple times,48
contacted navy,39
contacted navy federal,39
contacted original,20
contacted paypal,76
contacted phone,62
contacted regarding,67
contacted servicer,20
contacted support,84
contacted synchrony,64
contacted synchrony bank,33
contacted times,24
contacted told,45
contacted usaa,40
contacted wells,237
contacted wells fargo,234
contacted xx,81
contacted xx xx,79
contacting account,106
contacting account information,101
contacting bank,25
contacting company,21
contacting customer,39
contacting customer service,31
contacting regarding,24
contain inaccurate,419
contain inaccurate information,414
contains multiple,36
continue accrue,25
continue collection,41
continue making,50
continue making payments,33
continue paying,27
continue receive,68
continue report,130
continue report account,36
continue reported,71
continue reporting,85
continue reporting account,33
continued accrue,34
continued attempt,20
continued attempts,23
continued billing,47
continued charge,37
continued collection,319
continued collection activity,187
continued collection efforts,66
continued communication,28
continued contact,46
continued delay,57
continued failure,51
continued functioning,67
continued functioning banking,67
continued furnishing,63
continued hold,30
continued inaccurate,23
continued making,66
continued making payments,41
continued proper,50
continued proper verification,46
continued receive,42
continued refusal,24
continued report,114
continued report account,42
continued reporting,825
continued reporting account,175
continued reporting collection,33
continued reporting disputed,21
continued reporting fraudulent,34
continued reporting inaccurate,70
continued reporting information,21
continued reporting unverifiable,21
continued reporting unverified,106
continued restriction,33
continued send,26
continued sending,25
continued withholding,39
continues accrue,33
continues appear,27
continues attempt,43
continues attempt collect,29
continues charge,20
continues claim,22
continues collection,31
continues furnish,27
continues hold,40
continues negatively,33
continues negatively impact,22
continues reflect,26
continues report,442
continues report account,202
continues report attempt,26
continues report inaccurate,24
continues reported,378
continues reported credit,132
continues reported proper,27
continues reporting,38
continues requesting,83
continues requesting provide,79
continues send,29
continuing collect,20
continuing collection,79
continuing collection activity,44
continuing collection efforts,21
continuing report,214
continuing report account,51
continuing report unverified,23
contract account,41
contract agreement,287
contract agreement bearing,171
contract application,62
contract application bearing,24
contract authoritative,58
contract authoritative documentation,58
contract bearing,118
contract bearing signature,99
contract complete,84
contract complete payment,58
contract did,21
contract document,106
contract document links,101
contract documentation,36
contract exists,21
contract instrument,403
contract instrument created,401
contract itemized,27
contract original,21
contract payment,26
contract payment history,21
contract proof,39
contract signature,30
contract signed,118
contract signed parties,62
contract terms,45
contract xx,22
contract xx xx,22
contracted services,33
contractual agreement,41
contractual basis,35
contractual obligation,71
contractual obligations,35
contractual relationship,52
contradictory information,66
control account,21
control llc,97
cooperation sincerely,21
copies document,24
copies document request,22
copies documentation,45
copies documents,110
copies notices,27
copies original,32
copies signed,29
copy agreement,436
copy agreement contract,408
copy assignment,87
copy assignment purchase,82
copy contract,48
copy credit,69
copy credit report,57
copy drivers,21
copy drivers license,21
copy ftc,22
copy government,43
copy government issued,42
copy judgment,22
copy lease,28
copy letter,37
copy original,340
copy original agreement,33
copy original contract,51
copy original signed,202
copy signed,72
copy signed agreement,24
core issue,116
core issues,31
corporate office,37
correct account,131
correct address,99
correct balance,36
correct best,25
correct best knowledge,25
correct credit,36
correct delete,103
correct delete inaccurate,52
correct error,70
correct errors,56
correct inaccuracies,31
correct inaccurate,141
correct inaccurate information,44
correct inaccurate reporting,34
correct information,73
correct issue,111
correct known,21
correct legal,30
correct matter,22
correct negative,35
correct payment,27
correct person,108
correct person company,101
correct problem,23
correct pursue,45
correct pursue legal,45
correct records,29
correct remove,51
correct remove inaccurate,24
correct reporting,47
correct servicing,23
corrected account,26
corrected deleted,23
corrected immediately,91
corrected reflect,36
corrected removed,93
correcting errors,35
correcting errors timely,25
correction account,130
correction account reflect,20
correction credit,46
correction credit reporting,25
correction deletion,77
correction deletion inaccurate,30
correction errors,29
correction inaccurate,147
correction inaccurate credit,20
correction inaccurate reporting,35
correction negative,71
correction negative credit,48
correction removal,102
correction removal inaccurate,47
corrective action,278
corrective action taken,47
corrective actions,59
corrective actions taken,26
correspondence dated,30
correspondence dated xx,28
correspondence receive,101
correspondence receive requested,101
correspondence received,26
correspondence regarding,36
correspondence rights,58
correspondence rights afforded,58
correspondence sent,40
correspondence xx,28
correspondence xx xx,27
cost loan,27
couldn help,23
couple days,75
couple days later,21
couple months,31
couple weeks,35
couple years,21
court case,30
court costs,29
court documents,22
court order,99
court ordered,24
courtesy adjustment,25
create account,31
create new,22
created alleged,27
created confusion,28
created debt,406
created debt verification,388
created financial,35
created significant,35
created situation,24
created unnecessary,26
creates false,25
creates misleading,38
creates misleading impression,21
creates situation,24
cred debt,24
cred debt collector,24
cred falsely,24
cred falsely reporting,24
credence resource,124
credence resource management,85
credible documentation,32
credible documentation proving,32
credit acceptance,193
credit acceptance corporation,52
credit account,1110
credit account number,602
credit accounts,670
credit accounts research,590
credit act,610
credit act code,536
credit act investigation,26
credit agencies,54
credit agreement,54
credit application,64
credit applied,77
credit balance,144
credit bank,21
credit billing,450
credit billing act,442
credit builder,54
credit bureau,419
credit bureau reporting,33
credit bureaus,2277
credit bureaus account,69
credit bureaus accurate,33
credit bureaus causing,21
credit bureaus credit,22
credit bureaus date,46
credit bureaus despite,30
credit bureaus dispute,28
credit bureaus failed,23
credit bureaus identity,101
credit bureaus including,33
credit bureaus make,102
credit bureaus providing,20
credit bureaus reporting,27
credit bureaus requesting,21
credit bureaus violation,36
credit bureaus xx,42
credit business,35
credit business days,32
credit called,20
credit card,4508
credit card account,683
credit card accounts,89
credit card application,34
credit card balance,55
credit card bank,37
credit card billing,22
credit card called,24
credit card charge,32
credit card charged,26
credit card charges,42
credit card companies,34
credit card company,254
credit card credit,36
credit card debt,80
credit card did,42
credit card dispute,83
credit card ending,55
credit card fraud,35
credit card information,39
credit card issue,33
credit card issued,47
credit card issuer,51
credit card number,36
credit card opened,32
credit card paid,23
credit card payment,43
credit card payments,27
credit card received,20
credit card statement,53
credit card transaction,32
credit card transactions,33
credit card used,30
credit card xx,79
credit card years,21
credit cards,399
credit caused,20
credit check,39
credit coll,101
credit coll debt,46
credit coll falsely,47
credit collection,205
credit collection serv,38
credit collection services,110
credit companies,21
credit company,40
credit contacted,25
credit control,159
credit control llc,96
credit credit,56
credit damage,84
credit data,27
credit debt,34
credit despite,48
credit did,36
credit dispute,38
credit disputed,62
credit file,1718
credit file account,63
credit file constitutes,33
credit file despite,26
credit file dispute,21
credit file immediately,22
credit file inaccurate,22
credit file requesting,24
credit file rights,599
credit file violation,33
credit files,80
credit financial,90
credit financial standing,54
credit funds,24
credit harm,34
credit history,174
credit immediately,23
credit impact,41
credit information,127
credit inquiries,53
credit inquiry,55
credit investigation,66
credit issued,124
credit karma,100
credit later,38
credit later reversed,25
credit limit,467
credit limit reduction,40
credit limits,27
credit line,125
credit loan,21
credit management,340
credit management regarding,20
credit monitoring,29
credit negatively,39
credit negatively impacted,30
credit opportunities,20
credit opportunity,46
credit opportunity act,44
credit payment,39
credit payments,21
credit products,22
credit profile,730
credit profile despite,23
credit profile financial,51
credit profile requesting,41
credit provided,27
credit rating,22
credit received,20
credit record,21
credit repair,63
credit report,5184
credit report account,172
credit report accounts,29
credit report accurate,21
credit report balance,21
credit report believe,38
credit report collection,49
credit report company,31
credit report continues,20
credit report credit,43
credit report dated,23
credit report days,25
credit report debt,26
credit report despite,46
credit report did,48
credit report discovered,71
credit report dispute,38
credit report disputed,38
credit report does,20
credit report failure,23
credit report fair,41
credit report following,41
credit report identified,20
credit report immediately,159
credit report inaccurate,40
credit report information,53
credit report month,20
credit report multiple,34
credit report negatively,27
credit report noticed,45
credit report previously,21
credit report proper,71
credit report properly,33
credit report provide,21
credit report pursuant,21
credit report received,34
credit report recognize,31
credit report reflects,31
credit report reported,25
credit report request,435
credit report requested,22
credit report requesting,50
credit report result,62
credit report showing,28
credit report shows,44
credit report violation,67
credit report xx,105
credit reporting,6625
credit reporting account,43
credit reporting act,2810
credit reporting activity,50
credit reporting agencies,1677
credit reporting agency,214
credit reporting associated,50
credit reporting collection,26
credit reporting dispute,20
credit reporting failure,54
credit reporting inaccurate,77
credit reporting methods,67
credit reporting occur,26
credit reporting related,102
credit reporting requesting,26
credit reporting standards,25
credit reporting violations,25
credit reporting written,25
credit reports,975
credit reports account,50
credit reports directly,68
credit reports inaccurate,28
credit request,27
credit requesting,61
credit required,28
credit reversal,22
credit reversed,66
credit risk,23
credit score,810
credit score drop,22
credit score dropped,47
credit score financial,22
credit scores,113
credit service,32
credit services,154
credit standing,105
credit systems,181
credit terms,24
credit time,22
credit told,25
credit transaction,21
credit union,476
credit union regarding,36
credit unions,24
credit utilization,53
credit xx,106
credit xx xx,105
credited account,202
creditor account,222
creditor account number,124
creditor address,86
creditor address contact,79
creditor alleged,47
creditor alleged debt,37
creditor charge,21
creditor charge date,20
creditor collection,85
creditor collection agency,78
creditor company,25
creditor complete,58
creditor copies,27
creditor copy,425
creditor copy agreement,405
creditor credit,28
creditor current,53
creditor date,32
creditor debt,55
creditor documentation,82
creditor documentation showing,29
creditor failed,26
creditor information,60
creditor listed,25
creditor original,213
creditor original account,187
creditor owed,75
creditor owed payment,52
creditor proof,54
creditor proper,79
creditor proper verification,79
creditor provide,37
creditor total,58
creditor total owed,51
creditor verification,21
creditor xx,24
creditor xx xx,24
creditors address,23
creditors deny,22
creditors deny credit,22
creditors required,73
creditors required accurately,58
credits applied,26
credits issued,26
creditworthiness financial,28
crime complaint,27
crime complaint center,25
criteria used,24
critical evidence,24
critical information,27
cure default,38
currency occ,20
current account,54
current address,70
current balance,202
current credit,34
current creditor,74
current financial,35
current loan,52
current mortgage,31
current owner,26
current payment,27
current payments,20
current reporting,36
current servicer,33
current situation,21
current status,93
current xx,28
current xx xx,28
currently active,47
currently appearing,32
currently appearing credit,20
currently experiencing,21
currently held,52
currently holding,33
currently listed,47
currently listed credit,32
currently process,23
currently reported,255
currently reported consumer,21
currently reported credit,67
currently reporting,109
currently review,21
currently unable,45
customer account,35
customer bank,22
customer care,31
customer funds,37
customer relations,31
customer service,2179
customer service agent,27
customer service channels,25
customer service department,30
customer service informed,47
customer service line,54
customer service multiple,55
customer service number,55
customer service phone,38
customer service rep,46
customer service representative,120
customer service representatives,98
customer service request,24
customer service team,27
customer service times,34
customer service told,77
customer service xx,42
customer support,356
customer support multiple,27
customer years,101
cxx xx,59
cxx xx xxxxe,52
daily balance,27
daily life,20
damage caused,39
damage credit,173
damage credit profile,50
damage credit score,30
damaged credit,51
damaged credit score,20
damages actual,29
damages actual damages,29
damages attorney,26
damages attorney fees,26
damages attorneys,44
damages attorneys fees,44
damages caused,54
damages credit,20
damages including,46
damages punitive,30
damages punitive damages,30
damages violation,23
damaging credit,190
damaging credit profile,45
damaging credit score,62
damaging unjust,45
damaging unjust especially,45
data breach,184
data breach personal,23
data breaches,41
data fields,25
data furnished,20
data furnisher,41
data furnishers,36
data furnishers required,24
data integrity,24
data international,59
data reported,24
data reporting,25
data required,113
data required fcra,101
data set,25
data violation,29
data violation federal,24
date account,117
date account opened,21
date activity,59
date alleged,22
date bank,23
date birth,102
date birth xx,38
date company,24
date complaint,61
date date,52
date debt,29
date default,26
date delinquency,352
date delinquency dofd,70
date delinquency xx,36
date despite,32
date documentation,26
date documentation provided,20
date failed,23
date incident,27
date information,27
date letter,35
date method,24
date month,22
date opened,258
date opened xx,199
date original,32
date paid,28
date payment,101
date provided,50
date purchase,21
date receipt,38
date received,226
date received documentation,54
date reported,46
date sent,22
date service,30
date time,77
date transaction,29
date xx,1023
date xx xx,1020
dated xx,1075
dated xx xx,1075
dates amounts,47
dates delinquency,21
dates itemized,101
dates itemized charges,101
dates times,34
dates xx,83
dates xx xx,82
day account,33
day called,49
day contacted,25
day day,62
day delay,27
day delinquency,46
day did,27
day dispute,21
day hold,60
day late,153
day late payment,72
day late payments,21
day notice,35
day payment,21
day period,70
day received,88
day said,20
day time,30
day timeframe,33
day told,44
day window,57
day xx,179
day xx xx,178
days account,87
days account opening,33
days ago,128
days ago received,24
days bank,27
days business,22
days called,44
days check,27
days complete,27
days contacted,25
days date,88
days days,51
days debt,401
days debt claimed,398
days delinquent,47
days despite,39
days did,48
days earlier,29
days following,23
days funds,32
days initial,122
days initial communication,41
days initial contact,45
days investigate,26
days investigation,23
days late,164
days later,398
days later received,33
days later xx,33
days money,26
days passed,89
days past,168
days payment,67
days prior,60
days process,37
days provide,26
days receipt,157
days receipt letter,77
days receive,52
days received,96
days receiving,148
days receiving complaint,43
days receiving notice,20
days refund,30
days request,23
days required,51
days resolution,22
days resolve,34
days respond,27
days response,31
days review,24
days sincerely,41
days time,28
days today,35
days told,33
days written,27
days xx,196
days xx xx,196
deactivated account,21
deadline passed,41
deadline xx,83
deadline xx xx,83
dear cfpb,69
dear consumer,71
dear consumer financial,69
dear sir,98
dear sir madam,94
death certificate,56
debit account,62
debit card,1369
debit card account,32
debit card bank,23
debit card dispute,38
debit card ending,41
debit card information,37
debit card number,32
debit card transaction,53
debit card transactions,72
debit card xx,20
debit cards,68
debit credit,34
debited account,75
debt accordance,24
debt account,195
debt accounting,20
debt accurate,73
debt active,20
debt additionally,109
debt allegedly,26
debt appears,37
debt applicable,23
debt applicable statute,20
debt approximately,34
debt asked,26
debt assigned,30
debt associated,50
debt attempting,35
debt attempting collect,30
debt balance,62
debt balance accurate,33
debt behalf,45
debt believe,50
debt belongs,87
debt buyer,144
debt buyers,33
debt called,21
debt cease,61
debt cease collection,44
debt chain,32
debt claim,492
debt claim owe,476
debt claimed,431
debt claimed original,405
debt collected,53
debt collection,3168
debt collection account,36
debt collection activity,40
debt collection agencies,78
debt collection agency,99
debt collection company,36
debt collection credit,23
debt collection laws,20
debt collection notice,36
debt collection practices,2440
debt collections,43
debt collector,1592
debt collector cease,64
debt collector failed,30
debt collector falsely,599
debt collector provide,86
debt collector required,21
debt collector unjustifiable,55
debt collectors,210
debt collectors cease,44
debt company,117
debt company failed,23
debt complete,139
debt complete accounting,21
debt complete chain,36
debt complete payment,48
debt consumer,34
debt contacted,23
debt continued,119
debt continued collection,22
debt continued reporting,79
debt continues,20
debt continuing,42
debt copy,52
debt copy original,23
debt correct,20
debt credit,238
debt credit bureaus,42
debt credit report,63
debt credit reporting,54
debt creditor,60
debt creditor collection,46
debt currently,41
debt date,76
debt days,32
debt debt,108
debt debt collector,33
debt delete,413
debt delete credit,406
debt demand,56
debt despite,172
debt despite account,20
debt did,85
debt did opportunity,22
debt discharged,30
debt dispute,137
debt dispute furthermore,45
debt disputed,130
debt documentation,154
debt documentation showing,71
debt does,67
debt does belong,39
debt entirety,132
debt entirety request,24
debt evidence,24
debt exercising,406
debt exercising rights,405
debt failed,37
debt failure,46
debt failure provide,20
debt fair,87
debt fair credit,38
debt fair debt,46
debt false,22
debt fcra,50
debt fdcpa,54
debt formally,38
debt fully,33
debt furthermore,21
debt immediately,47
debt inaccurate,44
debt including,957
debt including breakdown,22
debt including complete,27
debt including copy,109
debt including documentation,67
debt including fees,48
debt including itemized,31
debt including original,227
debt including proof,59
debt including signed,141
debt income,32
debt incurred,27
debt information,72
debt instead,42
debt invalid,39
debt itemized,27
debt knowledge,29
debt law,20
debt legal,48
debt legally,98
debt letter,30
debt making,56
debt making request,51
debt midland,22
debt multiple,24
debt original,135
debt original creditor,96
debt originally,70
debt originally owed,21
debt originated,25
debt owe,66
debt owed,190
debt paid,116
debt parking,29
debt party,21
debt pay,21
debt placed,25
debt previously,49
debt prior,38
debt proof,233
debt proof company,95
debt proper,85
debt proper validation,36
debt properly,136
debt properly validated,92
debt properly verified,22
debt provide,126
debt provide following,37
debt provide proper,27
debt provided,114
debt providing,74
debt providing proper,22
debt pursuant,74
debt pursuant fair,36
debt pursuant rights,24
debt pursued,20
debt received,79
debt recognize,33
debt recovery,90
debt recovery llc,28
debt referenced,129
debt referenced recent,55
debt related,50
debt relief,61
debt remains,49
debt remove,28
debt removed,46
debt removed credit,23
debt report,24
debt reported,212
debt reported collected,29
debt reported credit,77
debt reporting,93
debt request,380
debt request disputing,34
debt request provide,25
debt request validation,41
debt requested,171
debt requested validation,56
debt requested writing,40
debt requesting,164
debt requesting validation,33
debt required,152
debt required fair,47
debt required fdcpa,52
debt required law,21
debt response,34
debt result,37
debt right,33
debt satisfied,24
debt sent,66
debt settlement,53
debt settlement program,24
debt signed,30
debt sold,70
debt specifically,67
debt state,40
debt time,49
debt transferred,27
debt unable,20
debt valid,308
debt valid include,51
debt valid reporting,80
debt validated,90
debt validated misleading,32
debt validation,1097
debt validation collection,54
debt validation demand,51
debt validation fair,23
debt validation include,59
debt validation including,28
debt validation letter,93
debt validation pursuant,106
debt validation request,203
debt verification,477
debt verification licensed,388
debt verified,39
debt violation,54
debt writing,33
debt xx,103
debt xx xx,103
debt years,21
debts reporting,53
debts reporting potentially,49
debts requesting,64
debts requesting proper,50
debts state,47
debts use,48
debts use misleading,47
deceived sending,24
deception impersonation,22
deceptive abusive,186
deceptive abusive act,26
deceptive abusive acts,111
deceptive abusive practices,22
deceptive acts,46
deceptive acts practices,30
deceptive business,49
deceptive business practices,31
deceptive collection,32
deceptive collection practices,22
deceptive marketing,30
deceptive misleading,153
deceptive misleading reporting,45
deceptive misleading representations,53
deceptive practice,108
deceptive practices,265
deceptive trade,49
deceptive trade practices,39
deceptive unfair,68
decided close,45
decided close account,32
decision based,35
decision close,33
decision final,45
decision making,54
decision xx,26
decision xx xx,26
decisions responsibility,101
decisions responsibility dont,101
declare penalty,37
declare penalty perjury,36
declared total,36
declared total loss,36
declined provide,40
deducted account,39
deed lieu,54
deed trust,33
deeply concerning,42
defamation character,32
default date,27
default judgment,35
default status,25
defective merchandise,49
defective product,43
defense application,30
deferred charge,34
deferred charges,56
deficiency balance,212
delay caused,51
delay causing,46
delay causing financial,25
delay lack,37
delay processing,28
delay unreasonable,24
delayed resolution,30
delays caused,25
delays lack,20
delete account,281
delete account consumer,48
delete account credit,99
delete account immediately,24
delete account soon,23
delete correct,24
delete credit,445
delete credit reporting,412
delete inaccurate,64
delete inaccurate information,20
delete information,37
delete item,52
delete negative,30
delete tradeline,60
deleted account,44
deleted consumer,34
deleted consumer reporting,21
deleted credit,266
deleted credit file,54
deleted credit report,122
deleted credit reporting,43
deleted immediately,108
deleted immediately credit,27
deletion account,360
deletion account consumer,41
deletion account credit,203
deletion accounts,27
deletion collection,30
deletion collection account,25
deletion correction,23
deletion credit,49
deletion credit reporting,21
deletion fraudulent,29
deletion inaccurate,65
deletion request,23
deletion tradeline,62
deletion unverifiable,24
delinquency account,32
delinquency caused,21
delinquency credit,31
delinquency date,58
delinquency dates,21
delinquency dofd,71
delinquency dofd recorded,29
delinquency information,25
delinquency reported,53
delinquency reporting,95
delinquency status,58
delinquency xx,60
delinquency xx xx,60
delinquent account,27
delinquent credit,37
delinquent status,25
delinquent xx,23
delinquent xx xx,23
deliver promised,24
delivered address,30
delivered agreed,52
delivered did,20
delivered merchant,23
delivered received,29
delivered xx,141
delivered xx xx,141
delivery address,26
delivery confirmation,78
delivery date,26
delivery xx,22
delivery xx xx,22
demand account,103
demand account taken,55
demand cease,27
demand complete,22
demand debt,27
demand debt validation,23
demand deletion,48
demand following,74
demand following immediate,36
demand immediate,275
demand immediate deletion,114
demand immediate removal,23
demand immediately,30
demand letter,95
demand payment,31
demand payments,27
demand payments updated,25
demand provide,31
demand validation,117
demand validation collection,59
demanding following,66
demanding following immediate,29
demanding immediate,75
demanding payment,56
demonstrably false,33
demonstrates failure,65
demonstrates pattern,20
demonstrating authorized,31
demonstrating debt,29
demonstrating legal,27
denial access,30
denial based,48
denial claim,45
denial credit,39
denial decision,25
denial dispute,45
denial fraud,65
denial fraud claim,52
denial letter,177
denial letters,41
denial xx,42
denial xx xx,42
denied access,154
denied access funds,46
denied appeal,29
denied asked,27
denied bank,27
denied based,66
denied basis,44
denied called,24
denied claim,630
denied claim based,27
denied claim providing,21
denied claim refused,20
denied claim stating,149
denied claim xx,23
denied claims,72
denied clear,20
denied contacted,26
denied credit,35
denied despite,51
denied did,20
denied dispute,452
denied dispute stating,63
denied disputes,40
denied explanation,25
denied fraud,126
denied fraud claim,96
denied meaningful,28
denied multiple,20
denied proper,20
denied refund,35
denied reimbursement,32
denied request,74
denied time,25
denied told,27
denied transactions,25
denied twice,24
denied xx,92
denied xx xx,92
deny claim,97
deny credit,29
deny dispute,28
denying access,30
denying claim,109
denying claims,23
denying dispute,32
denying fraud,24
department case,22
department education,203
department informed,20
department report,29
department representative,24
department said,33
department stated,20
department told,58
department writing,23
department xx,68
department xx xx,67
dependent fair,67
dependent fair accurate,67
deposit account,123
deposit bank,38
deposit cash,30
deposit check,74
deposit funds,42
deposit money,25
deposit received,25
deposit wells,25
deposit wells fargo,25
deposit xx,67
deposit xx xx,66
deposited account,141
deposited bank,45
deposited bank account,20
deposited cash,28
deposited check,136
deposited checks,37
deposited funds,64
deposited xx,37
deposited xx xx,37
deposits account,39
deposits totaling,23
depot credit,27
derogatory account,25
derogatory credit,25
derogatory information,57
derogatory mark,32
derogatory marks,24
derogatory payment,24
derogatory reporting,54
derogatory status,29
described suggests,47
described suggests companies,45
description filing,25
description incident,29
description investigation,24
desired resolution,164
desired resolution requesting,35
desist collection,21
desist communication,58
desist communication regarding,25
desist debt,44
desist debt validation,40
desist demand,35
desist letter,47
desist notice,24
despite absence,55
despite absence proper,32
despite account,284
despite account continues,90
despite account reported,36
despite acknowledging,39
despite acknowledgment,27
despite active,48
despite assurances,22
despite attempts,47
despite attempts resolve,21
despite bank,83
despite bank america,21
despite capital,23
despite charged,28
despite chase,23
despite chime,20
despite circumstances,22
despite citi,20
despite citibank,21
despite claim,30
despite clear,187
despite clear evidence,87
despite clearly,33
despite collection,80
despite collection efforts,49
despite company,93
despite company continues,35
despite compliance,69
despite confirmation,24
despite confirmed,42
despite consistent,25
despite continue,73
despite continue report,27
despite continued,69
despite continues,22
despite cooperation,29
despite credit,25
despite debt,24
despite dispute,122
despite disputes,47
despite documentation,24
despite documented,57
despite efforts,199
despite efforts resolve,27
despite evidence,77
despite explaining,26
despite explicit,24
despite fact,203
despite failing,72
despite failing provide,27
despite failing validate,32
despite following,41
despite formal,46
despite funds,22
despite good,36
despite good faith,36
despite having,211
despite immediate,33
despite lack,105
despite lack proper,29
despite lack verification,27
despite loan,30
despite making,71
despite making payments,26
despite meeting,30
despite merchant,47
despite multiple,480
despite multiple attempts,120
despite multiple calls,26
despite multiple disputes,55
despite multiple follow,25
despite multiple requests,79
despite notice,24
despite notified,33
despite ongoing,57
despite paying,21
despite payment,47
despite payments,33
despite paypal,34
despite previous,29
despite prior,139
despite prior disputes,38
despite prompt,22
despite provided,20
despite providing,201
despite providing documentation,28
despite received,34
despite receiving,140
despite receiving dispute,20
despite repeated,398
despite repeated attempts,93
despite repeated efforts,45
despite repeated requests,82
despite reporting,41
despite request,106
despite requests,51
despite submitting,55
despite timely,49
despite told,37
despite unresolved,33
despite vehicle,20
despite wells,48
despite wells fargo,47
despite willingness,25
despite written,72
despite xx,22
despite xx xx,22
detailed account,22
detailed accounting,93
detailed accounting total,58
detailed breakdown,62
detailed description,34
detailed documentation,26
detailed explanation,257
detailed information,35
detailed itemized,21
detailed payment,25
detailed written,96
detailed written explanation,50
details account,49
details evidence,108
details evidence information,101
details including,36
details investigation,20
details notices,101
details notices communications,101
details provided,25
details regarding,46
details transaction,27
determination based,24
determined authorized,36
determined error,23
determined fraudulent,29
determined transactions,25
device access,24
device data,23
device information,36
device ip,37
did accept,23
did access,35
did account,33
did acknowledge,31
did address,206
did adequately,37
did agree,44
did align,21
did allow,44
did answer,36
did appear,34
did apply,127
did apply authorize,26
did approve,59
did ask,34
did asked,26
did authorize,1205
did authorize account,28
did authorize charge,28
did authorize charges,39
did authorize initiate,37
did authorize open,23
did authorize transaction,131
did authorize transactions,181
did authorize use,30
did balance,21
did bank,23
did benefit,52
did called,28
did cancel,27
did clearly,66
did come,21
did complete,45
did comply,23
did conduct,57
did conduct reasonable,26
did confirm,22
did consent,42
did contact,46
did correct,26
did create,21
did credit,29
did did,41
did disclose,37
did dispute,36
did enter,21
did exist,41
did explain,56
did feel,26
did file,29
did follow,36
did fully,41
did happen,43
did hear,30
did help,20
did honor,22
did identify,35
did immediately,28
did include,100
did inform,28
did information,20
did initiate,112
did initiate approve,32
did initiate authorize,21
did intend,46
did investigate,20
did investigation,25
did issue,21
did know,130
did knowingly,143
did knowingly authorize,59
did make,291
did make authorize,35
did make payment,23
did make purchase,24
did make purchases,22
did match,76
did meaningfully,24
did meet,63
did money,26
did need,40
did notice,20
did notify,37
did occur,68
did offer,26
did open,208
did open account,47
did open authorize,101
did opportunity,33
did opportunity dispute,27
did owe,24
did participate,71
did participate didn,55
did pay,76
did perform,21
did permission,39
did possession,26
did process,41
did properly,66
did provide,794
did provide clear,26
did provide documentation,49
did provide information,33
did provide meaningful,25
did provide proof,21
did provide proper,21
did provide sufficient,81
did provide written,27
